state_id,cases,date
28,0,10-02-2020
29,0,10-02-2020
30,0,10-02-2020
31,0,10-02-2020
32,0,10-02-2020
0,0,10-02-2020
1,0,11-02-2020
2,0,11-02-2020
3,0,11-02-2020
4,0,11-02-2020
7,0,11-02-2020
8,0,11-02-2020
9,0,11-02-2020
5,0,11-02-2020
6,0,11-02-2020
10,0,11-02-2020
11,0,11-02-2020
12,0,11-02-2020
13,0,11-02-2020
14,0,11-02-2020
15,0,11-02-2020
16,0,11-02-2020
17,0,11-02-2020
18,0,11-02-2020
19,0,11-02-2020
20,0,11-02-2020
21,0,11-02-2020
22,0,11-02-2020
23,0,11-02-2020
24,0,11-02-2020
25,0,11-02-2020
26,0,11-02-2020
27,0,11-02-2020
28,0,11-02-2020
29,0,11-02-2020
30,0,11-02-2020
31,0,11-02-2020
32,0,11-02-2020
0,0,11-02-2020
1,0,12-02-2020
2,1,12-02-2020
3,0,12-02-2020
4,0,12-02-2020
7,0,12-02-2020
8,0,12-02-2020
9,0,12-02-2020
5,0,12-02-2020
6,0,12-02-2020
10,0,12-02-2020
11,0,12-02-2020
12,0,12-02-2020
13,0,12-02-2020
14,0,12-02-2020
15,0,12-02-2020
16,0,12-02-2020
17,0,12-02-2020
18,0,12-02-2020
19,0,12-02-2020
20,0,12-02-2020
21,0,12-02-2020
22,0,12-02-2020
23,0,12-02-2020
24,0,12-02-2020
25,0,12-02-2020
26,0,12-02-2020
27,0,12-02-2020
28,0,12-02-2020
29,0,12-02-2020
30,0,12-02-2020
31,0,12-02-2020
32,0,12-02-2020
0,1,12-02-2020
1,0,13-02-2020
2,0,13-02-2020
3,0,13-02-2020
4,0,13-02-2020
7,0,13-02-2020
8,0,13-02-2020
9,0,13-02-2020
5,0,13-02-2020
6,0,13-02-2020
10,0,13-02-2020
11,0,13-02-2020
12,0,13-02-2020
13,0,13-02-2020
14,0,13-02-2020
15,0,13-02-2020
16,0,13-02-2020
17,0,13-02-2020
18,0,13-02-2020
19,0,13-02-2020
20,0,13-02-2020
21,0,13-02-2020
22,0,13-02-2020
23,0,13-02-2020
24,0,13-02-2020
25,0,13-02-2020
26,0,13-02-2020
27,0,13-02-2020
28,0,13-02-2020
29,0,13-02-2020
30,0,13-02-2020
31,0,13-02-2020
32,0,13-02-2020
0,0,13-02-2020
1,0,14-02-2020
2,0,14-02-2020
3,0,14-02-2020
4,0,14-02-2020
7,0,14-02-2020
8,0,14-02-2020
9,0,14-02-2020
5,0,14-02-2020
6,0,14-02-2020
10,0,14-02-2020
11,0,14-02-2020
12,0,14-02-2020
13,0,14-02-2020
14,0,14-02-2020
15,0,14-02-2020
16,0,14-02-2020
17,0,14-02-2020
18,0,14-02-2020
19,0,14-02-2020
20,0,14-02-2020
21,0,14-02-2020
22,0,14-02-2020
23,0,14-02-2020
24,0,14-02-2020
25,0,14-02-2020
26,0,14-02-2020
27,0,14-02-2020
28,0,14-02-2020
29,0,14-02-2020
30,0,14-02-2020
31,0,14-02-2020
32,0,14-02-2020
0,0,14-02-2020
1,0,15-02-2020
2,0,15-02-2020
3,0,15-02-2020
4,0,15-02-2020
7,0,15-02-2020
8,0,15-02-2020
9,0,15-02-2020
5,0,15-02-2020
6,0,15-02-2020
10,0,15-02-2020
11,0,15-02-2020
12,0,15-02-2020
13,0,15-02-2020
14,0,15-02-2020
15,0,15-02-2020
16,0,15-02-2020
17,0,15-02-2020
18,0,15-02-2020
19,0,15-02-2020
20,0,15-02-2020
21,0,15-02-2020
22,0,15-02-2020
23,0,15-02-2020
24,0,15-02-2020
25,0,15-02-2020
26,0,15-02-2020
27,0,15-02-2020
28,0,15-02-2020
29,0,15-02-2020
30,0,15-02-2020
31,0,15-02-2020
32,0,15-02-2020
0,0,15-02-2020
1,0,16-02-2020
2,0,16-02-2020
3,0,16-02-2020
4,0,16-02-2020
7,0,16-02-2020
8,0,16-02-2020
9,0,16-02-2020
5,0,16-02-2020
6,0,16-02-2020
10,0,16-02-2020
11,0,16-02-2020
12,0,16-02-2020
13,0,16-02-2020
14,0,16-02-2020
15,0,16-02-2020
16,0,16-02-2020
17,0,16-02-2020
18,0,16-02-2020
19,0,16-02-2020
